1	0.04
10001	5310.78
20001	12203.8
30001	18770.6
40001	21693
50001	27274.9
60001	33675.1
70001	47178.9
80001	45926.8
90001	55225.8
100001	62842.8
110001	69768.5
120001	73382.4
130001	88085.1
140001	90523.1
150001	93989.5
160001	108741
170001	116517
180001	125027
190001	131758
200001	135649
210001	143276
220001	151809
230001	162054
240001	165856
250001	172282
260001	187140
270001	186810
280001	202449
290001	203552
300001	210093
310001	228603
320001	236974
330001	243343
340001	244409
350001	252510
360001	263203
370001	273597
380001	278942
390001	286952
400001	299101
410001	303489
420001	312153
430001	328146
440001	326413
450001	343131
460001	354214
470001	355137
480001	358612
490001	372324
500001	384450
510001	396470
520001	396023
530001	404534
540001	418344
550001	427783
560001	433716
570001	445927
580001	454966
590001	462033
600001	483727
610001	484678
620001	485690
630001	499487
640001	516428
650001	524400
660001	533850
670001	537003
680001	550452
690001	564116
700001	560915
710001	574320
720001	582710
730001	592004
740001	605013
750001	612101
760001	613945
770001	634460
780001	643313
790001	654070
800001	666227
810001	672648
820001	676359
830001	690371
840001	701085
850001	713936
860001	719129
870001	726479
880001	736367
890001	744929
900001	757185
910001	778715
920001	776416
930001	787256
940001	793822
950001	807178
960001	827348
970001	830673
980001	834969
990001	844440
